Gene	WT	hoD	sir1D	sir2	sir3	sir4DK
AAC1	18.6031	12.7752	15.7874	15.1798	21.0828	19.1121
AAC3	31.658	22.2841	21.0942	9.10598	17.4103	28.0278
AAD10	25.1574	25.5879	32.5493	16.8328	24.0779	27.9439
AAD14	9.61098	9.45894	10.6856	10.3708	11.6972	10.9466
AAD15	2.0635	1.0797	1.28329	7.22348	10.0648	10.4064
AAD16	37.7799	24.4346	26.8705	35.4945	27.213	35.3
AAD3	15.3931	11.2379	12.4382	20.4744	15.955	17.888
AAD4	15.8884	12.7443	13.5868	11.3513	15.6448	21.5283
AAD6	19.3502	16.9043	16.6064	17.6934	17.6102	20.2873
AAH1	95.4132	62.2482	53.3915	146.138	64.2428	53.5215
AAP1	38.3626	31.1811	30.813	31.3196	38.8667	34.7793
AAR2	4.18047	3.58342	3.24814	2.05624	3.73572	2.58092
AAT1	47.7947	38.4705	38.407	50.2638	43.9187	46.2489
AAT2	311.49	269.833	256.899	342.293	311.615	306
ABD1	29.0684	29.9764	32.7617	35.8315	25.6392	30.1543
ABF1	13.9792	10.8385	9.85959	7.90126	10.1324	9.67205
ABF2	159.936	145.541	153.12	133.723	137.157	149.138
ABM1	1.18078	3.17808	1.46662	3.25592	3.44571	6.09074
ABP1	50.8153	51.2828	52.0774	29.4323	43.2019	59.6241
ABP140	64.6288	56.9729	59.7888	54.7202	48.7866	61.6776
ABZ1	21.9238	19.3948	19.6511	19.1899	18.8102	16.8281
ABZ2	33.6112	37.8466	39.1354	30.8593	32.1794	35.7785
ACA1	49.2558	47.4	48.1591	34.1669	46.9913	46.7096
ACB1	1171.71	1027.35	988.319	781.629	1064.05	1383.98
ACC1	153.772	141.197	143.168	99.2097	148.165	141.846
ACE2	6.54531	6.95001	7.14998	4.82779	5.27793	5.02
ACF2	18.0722	14.6489	15.8468	15.6642	17.4681	17.6827
ACF4	15.784	17.1694	17.2721	12.613	12.5647	16.2095
ACH1	24.0897	21.4419	23.4268	14.8936	30.9988	31.2008
ACK1	11.1095	10.4627	10.9325	7.95301	8.76975	7.7428
ACM1	11.645	13.1162	12.4466	11.2079	9.26987	12.401
ACN9	34.6461	46.4596	53.5493	46.7384	51.9618	43.4176
ACO1	216.517	160.864	179.163	155.645	276.127	199.865
ACO2	20.3254	20.0554	21.0194	20.0312	21.0121	17.8748
ACP1	488.354	378.174	338.045	446.473	388.355	462.927
ACS1	8.88998	6.89299	7.608	6.93033	7.50238	8.17808
ACS2	315.95	294.378	350.257	256.106	527.144	341.218
ACT1	2784.28	2234.27	2267.25	1877.04	2291.47	2670.94
ADA2	7.99132	7.60539	8.27522	7.01819	5.49312	5.53331
ADD37	28.6747	33.1803	34.5572	30.176	29.8399	31.5046
ADD66	43.6745	44.6213	44.3623	41.7948	41.4125	50.5068
ADE1	255.637	242.272	257.431	317.846	213.167	269.343
ADE12	260.086	235.758	238.124	334.508	287.399	314.556
ADE13	477.735	419.888	444.395	538.286	475.977	530.743
ADE16	122.605	113.098	117.712	98.3907	116.343	127.486
ADE17	283.061	248.627	261.65	298.325	319.229	340.432
ADE2	79.5753	88.687	92.1524	113.183	93.4321	104.871
ADE3	197.284	183.839	193.109	164.443	220.968	214.253
ADE4	49.4554	42.8459	40.9018	63.165	41.2868	47.4138
ADE5%2C7	399.372	291.783	291.008	408.237	335.613	335.97
ADE6	134.616	105.273	106.773	120.688	103.754	111.234
ADE8	125.127	102.488	104.116	124.094	96.5858	123.182
ADF1	9.15015	8.59769	8.28745	18.9077	6.24905	8.9526
ADH1	22987.1	19038.4	17431.1	14371.1	20651.8	27153.6
ADH2	35.2247	28.8269	29.0905	21.922	29.5979	35.9815
ADH3	421.298	389.283	368.822	350.424	416.976	495.73
ADH4	89.5373	84.7285	85.5856	72.4707	170.196	251.082
ADH5	176.96	175.56	208.891	73.4985	233.876	318.645
ADH6	250.535	201.706	186.729	205.747	211.898	219.353
ADH7	11.018	9.56461	10.6208	15.1081	15.3017	15.339
ADI1	146.404	176.801	211.478	182.543	264.091	287.105
ADK1	1047.48	1016.63	989.725	1006.94	1036.59	1195.72
ADK2	14.7573	14.7289	13.7409	13.5331	12.8252	14.9261
ADO1	647.262	435.7	435.719	566.837	429.859	465.248
ADP1	31.1232	24.9603	26.062	22.8741	31.4533	30.9017
ADR1	4.43212	4.55108	6.28485	4.23131	7.84452	4.59584
ADY2	3.79499	2.96014	3.23545	3.11281	3.35726	3.39843
ADY3	4.12233	5.20654	5.22984	4.32237	5.09856	5.57004
ADY4	14.7611	12.7572	14.4791	18.1122	14.3544	15.8839
AEP1	13.2491	15.9585	15.4014	13.0628	12.6712	12.8227
AEP2	9.33603	11.122	11.5814	9.96375	10.4895	9.71498
AEP3	5.26485	5.82505	6.40233	5.09028	5.62563	6.09226
AFG1	57.0413	45.5238	47.2279	47.8667	56.6783	64.2779
AFG2	18.6675	14.9346	14.2608	22.1563	16.9882	14.7202
AFG3	19.7066	19.5967	19.2985	21.5155	20.7976	19.5587
AFI1	4.9453	4.58669	5.17016	5.35168	5.60654	4.75401
AFR1	13.7612	16.1981	23.662	12.2865	13.6458	16.2445
AFT1	12.3403	14.6525	13.4169	15.4631	16.575	12.9156
AFT2	15.2613	16.7848	16.8923	15.2298	12.2146	14.1773
AGA1	18.8061	15.6068	75.2313	8.12761	13.2983	7.56942
AGA2	87.7839	65.7223	300.102	0.465369	1.99265	2.3306
AGC1	10.8904	10.3582	11.4177	7.77346	10.1939	9.17365
AGE1	39.2245	34.0403	31.7922	38.5609	34.2137	31.0651
AGE2	46.8137	56.2734	55.1445	54.7793	52.5616	61.8169
AGP1	303.553	222.923	222.245	128.247	198.741	227.982
AGP2	8.26467	6.93018	8.01909	7.9539	11.221	9.39452
AGP3	5.0974	4.62404	4.64989	5.7775	6.42964	6.65893
AGX1	11.0363	9.66993	10.8895	12.5763	13.8545	17.1784
AHA1	101.173	124.918	135.529	80.9321	152.53	139.956
AHC1	21.25	20.2602	20.845	17.1426	21.1467	18.3642
AHC2	81.3721	97.376	99.8426	73.0715	70.5875	53.7672
AHP1	218.247	276.669	361.28	480.647	438.569	526.587
AHT1	1.4449	1.66805	1.54635	1.98791	2.9806	2.71459
AI1	0.255271	0.378754	0.0786406	0.129611	0.116636	0.0219381
AI2	0.154368	0.56484	0.0823079	0.0965176	0.0553069	0.0367871
